episode,cart_position,cart_velocity,pole_angle,pole_angular_velocity,action,reward,new_cart_position,new_cart_velocity,new_pole_angle,new_pole_angular_velocity,q_values
0,-0.008640911,-0.0055786693,-0.015900945,-0.03801325,0,1.0,-0.008752485,-0.20046903,-0.01666121,0.24961066,"[16.368542, 15.780715]"
0,-0.008752485,-0.20046903,-0.01666121,0.24961066,0,1.0,-0.012761866,-0.39534914,-0.011668997,0.5369921,"[16.416168, 16.192932]"
0,-0.012761866,-0.39534914,-0.011668997,0.5369921,0,1.0,-0.02066885,-0.5903051,-0.0009291556,0.8259755,"[16.227558, 16.321198]"
0,-0.02066885,-0.5903051,-0.0009291556,0.8259755,1,1.0,-0.03247495,-0.39517045,0.015590354,0.53300047,"[16.037971, 16.37695]"
0,-0.03247495,-0.39517045,0.015590354,0.53300047,1,1.0,-0.04037836,-0.20027119,0.026250364,0.2452705,"[16.013506, 16.282303]"
0,-0.04037836,-0.20027119,0.026250364,0.2452705,0,1.0,-0.044383783,-0.39575803,0.031155774,0.5461165,"[16.177528, 16.195755]"
0,-0.044383783,-0.39575803,0.031155774,0.5461165,1,1.0,-0.052298944,-0.20108739,0.042078104,0.2634105,"[15.837764, 16.232132]"
0,-0.052298944,-0.20108739,0.042078104,0.2634105,1,1.0,-0.056320693,-0.0065905172,0.047346313,-0.015709238,"[16.029543, 16.172771]"
0,-0.056320693,-0.0065905172,0.047346313,-0.015709238,0,1.0,-0.0564525,-0.20235837,0.04703213,0.29152808,"[16.235374, 15.83216]"
0,-0.0564525,-0.20235837,0.04703213,0.29152808,1,1.0,-0.060499668,-0.007937482,0.05286269,0.014041589,"[15.908022, 16.132858]"
0,-0.060499668,-0.007937482,0.05286269,0.014041589,0,1.0,-0.060658418,-0.20377614,0.053143524,0.3229236,"[16.15519, 15.818274]"
0,-0.060658418,-0.20377614,0.053143524,0.3229236,1,1.0,-0.064733945,-0.00944962,0.059601996,0.0474622,"[15.749754, 16.0869]"
0,-0.064733945,-0.00944962,0.059601996,0.0474622,0,1.0,-0.064922936,-0.20537333,0.060551237,0.35833853,"[16.047583, 15.805699]"
0,-0.064922936,-0.20537333,0.060551237,0.35833853,1,1.0,-0.069030404,-0.01116211,0.06771801,0.08534677,"[15.553573, 16.01009]"
0,-0.069030404,-0.01116211,0.06771801,0.08534677,1,1.0,-0.069253646,0.18292709,0.06942494,-0.18522586,"[15.878974, 15.781513]"
0,-0.069253646,0.18292709,0.06942494,-0.18522586,0,1.0,-0.0655951,-0.013115972,0.065720424,0.12852488,"[16.02204, 15.718301]"
0,-0.0655951,-0.013115972,0.065720424,0.12852488,0,1.0,-0.06585742,-0.20911482,0.06829093,0.44119638,"[15.717912, 15.736802]"
